2019-03-19 22:25:21.947064 : Step: 10300/111690, accuracy: 0.912548, cls loss: 0.307889, bbox loss: 0.071052,Landmark loss :0.047016,L2 loss: 0.017220, Total Loss: 0.384143 ,lr:0.001000 
2019-03-19 22:25:35.774151 : Step: 10400/111690, accuracy: 0.945946, cls loss: 0.283853, bbox loss: 0.077374,Landmark loss :0.063579,L2 loss: 0.017216, Total Loss: 0.371546 ,lr:0.001000 
2019-03-19 22:25:49.183587 : Step: 10500/111690, accuracy: 0.930909, cls loss: 0.296555, bbox loss: 0.074590,Landmark loss :0.047621,L2 loss: 0.017217, Total Loss: 0.374877 ,lr:0.001000 
2019-03-19 22:26:03.070611 : Step: 10600/111690, accuracy: 0.917266, cls loss: 0.333062, bbox loss: 0.071842,Landmark loss :0.057924,L2 loss: 0.017218, Total Loss: 0.415163 ,lr:0.001000 
2019-03-19 22:26:16.737699 : Step: 10700/111690, accuracy: 0.911765, cls loss: 0.297112, bbox loss: 0.069091,Landmark loss :0.038059,L2 loss: 0.017228, Total Loss: 0.367915 ,lr:0.001000 
2019-03-19 22:26:31.082336 : Step: 10800/111690, accuracy: 0.918149, cls loss: 0.301206, bbox loss: 0.074065,Landmark loss :0.074636,L2 loss: 0.017227, Total Loss: 0.392783 ,lr:0.001000 
2019-03-19 22:26:44.749525 : Step: 10900/111690, accuracy: 0.926471, cls loss: 0.283624, bbox loss: 0.069855,Landmark loss :0.045369,L2 loss: 0.017225, Total Loss: 0.358461 ,lr:0.001000 
2019-03-19 22:26:58.113482 : Step: 11000/111690, accuracy: 0.927481, cls loss: 0.212297, bbox loss: 0.076523,Landmark loss :0.050263,L2 loss: 0.017226, Total Loss: 0.292916 ,lr:0.001000 
2019-03-19 22:27:11.830427 : Step: 11100/111690, accuracy: 0.912727, cls loss: 0.288568, bbox loss: 0.071169,Landmark loss :0.044702,L2 loss: 0.017224, Total Loss: 0.363728 ,lr:0.001000 
path prefix is :../data/MTCNN_model/PNet_landmark/PNet-3
2019-03-19 22:27:26.026668 : Step: 11200/111690, accuracy: 0.936759, cls loss: 0.227640, bbox loss: 0.074676,Landmark loss :0.063918,L2 loss: 0.017213, Total Loss: 0.314150 ,lr:0.001000 
2019-03-19 22:27:40.019804 : Step: 11300/111690, accuracy: 0.889706, cls loss: 0.350507, bbox loss: 0.074305,Landmark loss :0.053925,L2 loss: 0.017216, Total Loss: 0.431837 ,lr:0.001000 
2019-03-19 22:27:53.566288 : Step: 11400/111690, accuracy: 0.891473, cls loss: 0.335754, bbox loss: 0.075297,Landmark loss :0.055455,L2 loss: 0.017223, Total Loss: 0.418353 ,lr:0.001000 
2019-03-19 22:28:07.031697 : Step: 11500/111690, accuracy: 0.938182, cls loss: 0.226726, bbox loss: 0.065176,Landmark loss :0.059729,L2 loss: 0.017215, Total Loss: 0.306393 ,lr:0.001000 
2019-03-19 22:28:20.710231 : Step: 11600/111690, accuracy: 0.918519, cls loss: 0.268751, bbox loss: 0.052491,Landmark loss :0.053021,L2 loss: 0.017210, Total Loss: 0.338717 ,lr:0.001000 
2019-03-19 22:28:34.967921 : Step: 11700/111690, accuracy: 0.925197, cls loss: 0.297709, bbox loss: 0.085088,Landmark loss :0.063972,L2 loss: 0.017211, Total Loss: 0.389450 ,lr:0.001000 
2019-03-19 22:28:48.340935 : Step: 11800/111690, accuracy: 0.905455, cls loss: 0.317412, bbox loss: 0.063543,Landmark loss :0.043151,L2 loss: 0.017214, Total Loss: 0.387973 ,lr:0.001000 
2019-03-19 22:29:01.985074 : Step: 11900/111690, accuracy: 0.942857, cls loss: 0.251951, bbox loss: 0.062281,Landmark loss :0.047806,L2 loss: 0.017212, Total Loss: 0.324205 ,lr:0.001000 
2019-03-19 22:29:15.568086 : Step: 12000/111690, accuracy: 0.911765, cls loss: 0.330161, bbox loss: 0.064892,Landmark loss :0.064220,L2 loss: 0.017205, Total Loss: 0.411922 ,lr:0.001000 
2019-03-19 22:29:29.127099 : Step: 12100/111690, accuracy: 0.902256, cls loss: 0.347533, bbox loss: 0.064030,Landmark loss :0.049293,L2 loss: 0.017212, Total Loss: 0.421406 ,lr:0.001000 
2019-03-19 22:29:42.755826 : Step: 12200/111690, accuracy: 0.910714, cls loss: 0.298732, bbox loss: 0.075937,Landmark loss :0.058745,L2 loss: 0.017211, Total Loss: 0.383285 ,lr:0.001000 
2019-03-19 22:29:56.320943 : Step: 12300/111690, accuracy: 0.918216, cls loss: 0.313320, bbox loss: 0.079012,Landmark loss :0.039035,L2 loss: 0.017208, Total Loss: 0.389552 ,lr:0.001000 
2019-03-19 22:30:09.997934 : Step: 12400/111690, accuracy: 0.934307, cls loss: 0.241704, bbox loss: 0.068272,Landmark loss :0.040906,L2 loss: 0.017215, Total Loss: 0.313507 ,lr:0.001000 
2019-03-19 22:30:23.484419 : Step: 12500/111690, accuracy: 0.935606, cls loss: 0.292523, bbox loss: 0.072294,Landmark loss :0.054765,L2 loss: 0.017225, Total Loss: 0.373278 ,lr:0.001000 
2019-03-19 22:30:37.204206 : Step: 12600/111690, accuracy: 0.919298, cls loss: 0.271241, bbox loss: 0.057507,Landmark loss :0.055271,L2 loss: 0.017227, Total Loss: 0.344857 ,lr:0.001000 
2019-03-19 22:30:50.956713 : Step: 12700/111690, accuracy: 0.946360, cls loss: 0.243213, bbox loss: 0.062357,Landmark loss :0.044779,L2 loss: 0.017225, Total Loss: 0.314005 ,lr:0.001000 
2019-03-19 22:31:04.809618 : Step: 12800/111690, accuracy: 0.961538, cls loss: 0.160592, bbox loss: 0.086343,Landmark loss :0.050967,L2 loss: 0.017222, Total Loss: 0.246468 ,lr:0.001000 
