2019-04-06 16:05:51.278055 : Step: 11900/93580, accuracy: 0.953125, cls loss: 0.184945, bbox loss: 0.071218,Landmark loss :0.019436,L2 loss: 0.046563, Total Loss: 0.286552 ,lr:0.001000 
2019-04-06 16:12:51.552522 : Step: 12000/93580, accuracy: 0.976562, cls loss: 0.102350, bbox loss: 0.078261,Landmark loss :0.019461,L2 loss: 0.046535, Total Loss: 0.207476 ,lr:0.001000 
2019-04-06 16:19:51.776009 : Step: 12100/93580, accuracy: 0.960938, cls loss: 0.155271, bbox loss: 0.068432,Landmark loss :0.015990,L2 loss: 0.046502, Total Loss: 0.251980 ,lr:0.001000 
2019-04-06 16:26:51.187785 : Step: 12200/93580, accuracy: 0.957031, cls loss: 0.171267, bbox loss: 0.073479,Landmark loss :0.025259,L2 loss: 0.046472, Total Loss: 0.279736 ,lr:0.001000 
2019-04-06 16:33:52.875664 : Step: 12300/93580, accuracy: 0.968750, cls loss: 0.144600, bbox loss: 0.069839,Landmark loss :0.024153,L2 loss: 0.046441, Total Loss: 0.250115 ,lr:0.001000 
2019-04-06 16:40:53.561767 : Step: 12400/93580, accuracy: 0.953125, cls loss: 0.167242, bbox loss: 0.075920,Landmark loss :0.023370,L2 loss: 0.046413, Total Loss: 0.274984 ,lr:0.001000 
2019-04-06 16:47:53.282809 : Step: 12500/93580, accuracy: 0.960938, cls loss: 0.167111, bbox loss: 0.079487,Landmark loss :0.020105,L2 loss: 0.046379, Total Loss: 0.273339 ,lr:0.001000 
2019-04-06 16:54:52.726226 : Step: 12600/93580, accuracy: 0.964844, cls loss: 0.153683, bbox loss: 0.084041,Landmark loss :0.020649,L2 loss: 0.046344, Total Loss: 0.262697 ,lr:0.001000 
path prefix is :../data/MTCNN_model/ONet_landmark/ONet-3
2019-04-06 17:01:53.370189 : Step: 12700/93580, accuracy: 0.972656, cls loss: 0.131107, bbox loss: 0.055577,Landmark loss :0.017453,L2 loss: 0.046315, Total Loss: 0.222663 ,lr:0.001000 
2019-04-06 17:08:52.567417 : Step: 12800/93580, accuracy: 0.964844, cls loss: 0.091580, bbox loss: 0.075312,Landmark loss :0.021401,L2 loss: 0.046284, Total Loss: 0.196921 ,lr:0.001000 
